country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
JPN,2012,1,short,3,11,68,5,4,2,4,7,6,7,10,18,25,58,117,255,570,1268,2845,6580,16438,12959,25873,22939,37601,.,.
JPN,2012,1,short,3,12,72,6,1,2,1,4,9,18,42,96,191,285,376,508,655,870,1324,2312,4822,3895,7337,6428,10971,.,.
JPN,2012,1,short,3,13,2,1,0,0,1,1,1,2,2,5,9,19,24,39,61,100,188,334,559,436,894,738,1514,.,.
JPN,2012,1,short,3,14,4,0,1,0,0,2,0,3,5,7,18,35,65,126,232,410,926,1990,5718,4203,9828,8308,15901,.,.
JPN,2012,1,short,3,15,1626,48,6,1,7,5,6,4,6,4,6,3,5,8,9,12,21,26,55,55,56,46,92,.,.
JPN,2012,1,short,3,16,167,47,35,47,215,448,452,408,452,511,624,713,745,800,945,1193,1798,2941,5651,4651,8363,7598,11421,.,.
JPN,2013,1,short,3,0,2275,200,99,96,287,565,588,664,911,1357,2183,3527,5531,9115,13842,21453,36874,67959,147916,119528,226080,199019,338581,.,.
JPN,2013,1,short,3,1,80,13,5,2,2,3,3,5,9,20,42,63,102,165,249,421,788,1484,2874,2468,3992,3660,5372,.,.
JPN,2013,1,short,3,2,27,27,25,23,34,39,51,78,146,281,561,1191,2331,4373,6832,9915,14927,22713,34426,31661,42039,40235,49539,.,.
JPN,2013,1,short,3,3,16,4,2,0,1,1,1,3,3,3,5,8,13,23,34,65,120,235,512,397,829,744,1183,.,.
JPN,2013,1,short,3,4,41,4,2,1,1,4,5,8,14,25,45,71,109,195,271,368,649,1082,2142,1729,3281,2931,4734,.,.
JPN,2013,1,short,3,5,0,0,0,0,0,2,2,4,5,6,7,13,18,33,36,61,144,412,1468,975,2827,2342,4842,.,.
JPN,2013,1,short,3,6,51,14,5,8,12,17,19,19,17,19,34,51,84,131,221,436,860,1581,2677,2387,3474,3254,4387,.,.
JPN,2013,1,short,3,7,74,13,5,5,11,31,41,64,124,214,366,569,858,1323,1901,2873,4933,10026,26122,19553,44209,36963,74332,.,.
JPN,2013,1,short,3,8,8,1,2,4,4,4,11,22,55,123,207,322,458,670,1019,1719,3344,6695,14966,12067,22949,20628,32601,.,.
JPN,2013,1,short,3,9,0,0,0,1,0,1,4,4,14,27,48,63,107,155,243,349,603,1227,2622,2254,3634,3523,4096,.,.
JPN,2013,1,short,3,10,60,21,8,3,4,6,9,7,15,22,37,80,147,347,650,1449,3501,8663,26938,19620,47089,39314,79411,.,.
JPN,2013,1,short,3,11,64,13,3,2,4,6,5,9,11,15,27,58,125,267,546,1230,2838,6449,16521,13128,25863,23001,37763,.,.
JPN,2013,1,short,3,12,97,8,2,1,3,6,8,17,40,91,179,286,380,487,624,859,1328,2252,4822,3914,7324,6375,11269,.,.
JPN,2013,1,short,3,13,0,2,0,0,0,1,2,1,3,4,9,17,21,42,63,97,200,319,572,490,799,684,1274,.,.
JPN,2013,1,short,3,14,6,1,1,1,0,1,2,2,6,8,21,38,58,118,218,413,877,2010,5707,4245,9731,8241,15925,.,.
JPN,2013,1,short,3,15,1612,42,3,3,4,7,6,5,5,5,4,7,8,8,11,11,16,29,83,77,100,84,164,.,.
JPN,2013,1,short,3,16,138,40,36,42,205,435,421,418,444,495,592,692,711,777,924,1187,1747,2782,5463,4563,7942,7040,11690,.,.
JPN,2014,1,short,3,0,2163,206,102,109,274,551,590,689,847,1323,2053,3359,5341,8815,13594,21276,35887,65065,143913,116276,219013,194090,329894,.,.
JPN,2014,1,short,3,1,62,11,6,2,1,3,3,5,9,19,37,66,109,177,249,383,712,1402,2793,2309,4107,3810,5427,.,.
JPN,2014,1,short,3,2,26,28,27,25,35,36,51,92,146,270,534,1089,2211,4159,6791,9998,14628,22053,34283,31565,41671,39887,49609,.,.
JPN,2014,1,short,3,3,11,2,1,1,1,1,1,1,3,3,3,7,11,18,37,51,107,216,473,352,802,722,1158,.,.
JPN,2014,1,short,3,4,34,6,2,1,1,5,5,7,14,27,39,71,111,178,254,364,634,1059,2060,1663,3140,2788,4706,.,.
JPN,2014,1,short,3,5,0,0,0,1,0,0,1,3,6,5,9,12,17,29,39,78,162,414,1586,1027,3104,2464,5948,.,.
JPN,2014,1,short,3,6,49,17,7,8,10,17,18,18,14,23,34,55,74,152,234,422,868,1477,2900,2526,3915,3684,4940,.,.
JPN,2014,1,short,3,7,45,12,5,7,15,34,34,72,105,214,344,577,824,1329,1850,2834,4897,9565,25598,19072,43331,36483,73800,.,.
JPN,2014,1,short,3,8,4,1,1,3,3,8,11,27,54,127,199,311,436,630,993,1652,3160,6204,13792,11197,20844,18734,30235,.,.
JPN,2014,1,short,3,9,2,1,0,0,2,2,2,5,9,27,44,69,113,150,251,368,624,1191,2481,2083,3560,3335,4561,.,.
JPN,2014,1,short,3,10,66,23,7,5,2,4,7,8,17,21,39,86,157,342,630,1363,3250,8010,25050,18376,43186,36639,72311,.,.
JPN,2014,1,short,3,11,45,7,3,1,2,5,9,9,9,18,28,54,111,275,531,1268,2838,6323,16722,13172,26369,23418,39497,.,.
JPN,2014,1,short,3,12,73,8,2,1,3,6,9,18,40,87,161,269,371,490,613,831,1276,2221,4796,3923,7170,6418,10512,.,.
JPN,2014,1,short,3,13,6,2,0,0,0,1,0,1,3,6,10,13,28,35,59,118,195,301,613,505,908,771,1514,.,.
JPN,2014,1,short,3,14,4,4,1,0,0,2,1,3,4,8,17,35,59,125,201,425,870,1930,5484,4078,9306,8014,15052,.,.
JPN,2014,1,short,3,15,1601,40,8,6,5,6,5,5,5,5,4,7,8,8,9,11,17,31,66,62,79,84,54,.,.
JPN,2014,1,short,3,16,135,43,31,47,194,420,432,414,410,463,549,636,698,719,852,1109,1650,2669,5215,4366,7522,6838,10568,.,.
JPN,2015,1,short,3,0,2081,210,94,93,274,503,553,636,820,1268,1983,3277,5185,8529,13302,21274,34618,63501,143016,114498,217013,193359,325861,.,.
JPN,2015,1,short,3,1,63,18,3,2,1,4,4,4,11,17,37,57,100,164,243,397,691,1310,2792,2348,3945,3799,4615,.,.
JPN,2015,1,short,3,2,39,25,27,21,32,41,54,79,136,270,503,1066,2157,4014,6644,10056,14154,21749,34410,31429,42146,40927,47756,.,.
JPN,2015,1,short,3,3,17,5,2,1,2,1,1,3,3,2,4,7,12,18,37,55,98,191,505,395,790,687,1265,.,.
JPN,2015,1,short,3,4,13,5,1,1,2,4,4,7,14,24,41,67,113,166,253,363,575,1013,2092,1694,3124,2710,5028,.,.
JPN,2015,1,short,3,5,0,0,0,1,0,1,0,2,2,5,11,16,18,32,37,74,155,424,1566,1029,2961,2465,5247,.,.
JPN,2015,1,short,3,6,48,23,7,6,10,15,15,16,18,24,32,52,78,142,243,442,874,1600,3018,2640,4000,3766,5077,.,.
JPN,2015,1,short,3,7,55,13,7,4,12,21,39,54,105,201,343,557,791,1272,1816,2729,4747,9322,25050,18585,41826,35578,70580,.,.
JPN,2015,1,short,3,8,4,1,2,2,3,4,10,23,52,120,201,308,433,630,936,1619,2878,5753,13194,10537,20089,17816,30548,.,.
JPN,2015,1,short,3,9,9,0,0,0,2,1,2,6,14,25,49,75,106,164,252,365,581,1120,2460,2099,3396,3135,4597,.,.
JPN,2015,1,short,3,10,35,23,6,3,3,5,5,12,12,21,36,74,142,309,605,1372,3129,7735,25197,18122,43555,37220,72707,.,.
JPN,2015,1,short,3,11,85,7,2,1,3,7,8,9,14,15,29,54,113,269,552,1324,2858,6172,16865,13210,26349,23299,40386,.,.
JPN,2015,1,short,3,12,68,7,1,1,5,5,10,18,32,87,169,280,363,488,601,835,1280,2187,4643,3658,7200,6428,10752,.,.
JPN,2015,1,short,3,13,4,1,0,0,0,0,1,1,3,6,6,15,22,37,58,106,185,315,606,500,882,720,1624,.,.
JPN,2015,1,short,3,14,0,1,0,0,1,0,2,3,4,9,20,34,55,121,209,410,804,1874,5459,4016,9204,7951,14972,.,.
JPN,2015,1,short,3,15,1492,41,6,5,3,3,8,5,3,3,5,4,7,7,10,14,18,36,60,53,79,73,103,.,.
JPN,2015,1,short,3,16,147,41,30,45,194,389,388,393,398,439,498,611,672,697,806,1114,1590,2701,5097,4183,7467,6785,10605,.,.
JPN,2016,1,short,3,0,1976,184,85,90,267,488,546,621,808,1202,1959,3183,5115,8319,13319,20847,33904,61638,141301,112183,212967,189421,326579,.,.
JPN,2016,1,short,3,1,80,20,7,1,2,4,4,6,9,19,30,55,98,150,236,378,629,1272,2727,2260,3876,3590,5257,.,.
JPN,2016,1,short,3,2,31,20,24,19,28,36,54,80,144,250,508,1035,2068,3895,6593,9894,13888,21043,34226,31119,41874,40198,49958,.,.
JPN,2016,1,short,3,3,31,2,1,0,2,1,1,1,2,2,7,10,9,19,39,56,96,216,481,383,720,642,1096,.,.
JPN,2016,1,short,3,4,33,2,2,1,1,5,7,8,14,25,42,69,109,167,245,345,607,1017,2062,1701,2951,2569,4790,.,.
JPN,2016,1,short,3,5,0,0,0,0,0,1,1,3,2,6,9,17,20,36,44,74,158,430,1631,1059,3038,2491,5676,.,.
JPN,2016,1,short,3,6,33,9,7,7,14,15,15,16,19,22,30,55,87,150,250,453,893,1725,3238,2797,4323,4006,5852,.,.
JPN,2016,1,short,3,7,46,14,4,4,12,27,36,62,100,184,350,554,835,1241,1858,2765,4546,8914,24846,18074,41514,35210,71928,.,.
JPN,2016,1,short,3,8,2,2,1,3,3,5,11,23,55,118,191,298,412,609,930,1511,2786,5492,12486,9917,18809,16926,27894,.,.
JPN,2016,1,short,3,9,4,0,0,0,0,3,2,5,14,30,51,83,135,159,265,379,610,1122,2515,2067,3618,3469,4337,.,.
JPN,2016,1,short,3,10,53,21,6,5,2,3,7,10,16,21,42,75,146,324,619,1344,3007,7330,23844,17111,40416,34251,70163,.,.
JPN,2016,1,short,3,11,73,9,2,0,3,3,7,7,12,17,28,52,111,267,563,1320,2842,6156,17047,12969,27083,23946,42219,.,.
JPN,2016,1,short,3,12,62,8,4,3,4,6,8,17,31,85,160,259,368,483,617,797,1244,2162,4681,3760,6949,6240,10370,.,.
JPN,2016,1,short,3,13,2,1,0,1,0,0,2,2,3,5,7,12,25,41,65,117,190,333,625,505,920,847,1274,.,.
JPN,2016,1,short,3,14,4,2,1,1,1,0,1,1,4,8,17,33,54,119,224,392,832,1894,5666,4243,9170,7993,14847,.,.
JPN,2016,1,short,3,15,1390,42,7,3,5,7,4,5,5,4,5,7,6,11,11,13,19,29,76,67,96,93,113,.,.
JPN,2016,1,short,3,16,131,34,21,40,190,370,386,373,377,406,479,569,632,649,760,1009,1557,2503,5151,4151,7611,6948,10805,.,.
JPN,1995,2,short,3,0,3810,372,151,129,228,303,328,473,634,1016,1647,2464,3536,5512,8680,15210,28378,55359,133581,103902,205333,185367,298646,.,.
JPN,1995,2,short,3,1,106,17,5,2,4,4,5,9,7,14,23,46,85,154,254,410,659,1054,2005,1623,2929,2727,3873,.,.
JPN,1995,2,short,3,2,29,35,31,31,33,35,70,153,298,508,866,1280,1750,2559,3696,5332,7759,11454,16830,15777,19374,19227,20058,.,.
JPN,1995,2,short,3,3,15,4,3,1,3,2,3,4,6,6,8,11,19,30,55,97,151,293,727,583,1076,1024,1321,.,.
JPN,1995,2,short,3,4,36,5,3,3,2,4,6,8,10,19,29,45,73,132,232,419,792,1509,2948,2438,4182,3946,5285,.,.
JPN,1995,2,short,3,5,0,0,0,0,2,3,3,5,5,5,5,8,5,8,14,30,96,320,1166,778,2105,1823,3425,.,.
JPN,1995,2,short,3,6,65,38,12,10,9,10,12,11,14,17,21,29,49,75,134,213,326,426,602,557,709,688,806,.,.
JPN,1995,2,short,3,7,101,17,7,9,13,14,19,36,44,74,137,201,352,659,1210,2541,5528,11876,31501,23855,49986,44376,76209,.,.
JPN,1995,2,short,3,8,22,3,1,2,4,6,10,27,41,92,167,263,407,670,1154,2431,5445,12328,32553,25026,50753,46821,69127,.,.
JPN,1995,2,short,3,9,0,0,0,1,0,1,1,1,2,4,5,12,19,42,86,163,304,584,1428,1129,2151,1783,3873,.,.
JPN,1995,2,short,3,10,111,38,9,8,5,7,7,12,11,18,29,47,77,176,345,895,2316,6229,21740,15021,37983,32229,64877,.,.
JPN,1995,2,short,3,11,74,17,4,6,5,8,10,13,12,22,29,47,85,147,278,572,1238,2460,6074,4592,9656,8407,15492,.,.
JPN,1995,2,short,3,12,43,4,2,1,1,4,9,13,20,34,53,82,138,246,354,617,1209,2286,5945,4614,9161,8477,12357,.,.
JPN,1995,2,short,3,13,0,0,1,0,2,4,3,6,9,15,17,34,45,61,97,155,219,339,931,654,1601,1383,2623,.,.
JPN,1995,2,short,3,14,9,2,1,1,1,4,10,13,7,11,18,20,42,87,166,360,818,1902,4984,3842,7743,7034,11059,.,.
JPN,1995,2,short,3,15,2918,77,15,9,8,4,3,4,3,4,5,8,7,9,13,24,27,32,59,55,67,57,112,.,.
JPN,1995,2,short,3,16,281,113,59,45,135,192,158,157,147,176,235,332,384,456,592,950,1490,2267,4090,3360,5856,5364,8151,.,.
JPN,1996,2,short,3,0,3489,313,124,104,204,268,303,444,610,980,1595,2400,3328,5244,8204,14017,26291,50654,122815,95648,189553,169237,277694,.,.
JPN,1996,2,short,3,1,96,16,3,3,3,5,6,7,10,12,22,36,70,130,221,367,635,939,1793,1497,2521,2313,3424,.,.
JPN,1996,2,short,3,2,30,31,31,29,38,40,70,153,285,513,848,1284,1753,2571,3692,5232,7710,11320,17048,15959,19724,19425,21018,.,.
JPN,1996,2,short,3,3,12,2,2,2,3,2,3,3,5,4,9,11,15,27,52,77,152,276,734,544,1199,1035,1910,.,.
JPN,1996,2,short,3,4,28,8,3,1,3,2,4,7,8,21,24,40,60,125,199,366,647,1255,2547,2183,3443,3206,4469,.,.
JPN,1996,2,short,3,5,0,1,1,0,2,2,3,4,5,7,6,3,6,9,8,27,78,232,1041,712,1850,1651,2716,.,.
JPN,1996,2,short,3,6,56,30,14,8,10,11,10,9,12,17,22,31,48,85,123,200,299,383,510,483,576,541,728,.,.
JPN,1996,2,short,3,7,107,17,4,8,10,16,21,35,45,71,132,202,324,623,1098,2364,5162,11058,29998,22492,48438,42534,74055,.,.
JPN,1996,2,short,3,8,11,2,2,3,5,6,12,26,35,86,174,267,370,626,1066,2180,4918,11208,29638,22782,46483,42296,64649,.,.
JPN,1996,2,short,3,9,2,0,0,0,0,0,1,1,2,2,9,14,21,43,75,143,320,585,1277,1011,1930,1668,3070,.,.
JPN,1996,2,short,3,10,93,30,10,5,5,5,4,9,12,19,23,34,66,125,305,733,1888,4935,17652,12112,31259,26215,53139,.,.
JPN,1996,2,short,3,11,53,17,4,7,7,7,7,11,14,19,28,49,75,124,254,547,1137,2230,5582,4175,9037,7676,14938,.,.
JPN,1996,2,short,3,12,32,5,2,1,2,5,6,13,20,32,56,88,123,219,355,574,1073,2162,5427,4179,8491,7685,11986,.,.
JPN,1996,2,short,3,13,0,1,0,2,3,4,6,8,10,12,17,33,47,69,108,149,209,321,833,586,1440,1228,2362,.,.
JPN,1996,2,short,3,14,12,2,0,0,0,2,8,8,9,10,15,24,45,77,159,317,771,1751,4962,3829,7745,6863,11572,.,.
JPN,1996,2,short,3,15,2720,64,13,8,4,4,3,4,4,3,4,6,6,7,11,17,26,40,51,40,76,75,79,.,.
JPN,1996,2,short,3,16,238,89,36,27,108,157,138,146,134,152,206,278,300,383,480,723,1266,1960,3722,3064,5341,4825,7580,.,.
JPN,1997,2,short,3,0,3413,342,121,90,197,268,318,439,612,978,1586,2335,3270,5111,8026,13444,25095,48998,121132,93708,186495,165609,273415,.,.
JPN,1997,2,short,3,1,109,20,5,2,2,4,5,7,8,16,25,35,71,135,239,373,595,936,1725,1468,2336,2153,3098,.,.
JPN,1997,2,short,3,2,35,33,26,26,38,40,76,144,274,515,856,1280,1758,2558,3639,5066,7603,11139,16788,15514,19824,19372,21703,.,.
JPN,1997,2,short,3,3,7,6,2,1,2,3,4,4,3,6,9,13,16,27,44,74,143,273,696,557,1029,894,1592,.,.
JPN,1997,2,short,3,4,22,6,2,1,2,3,5,7,10,15,27,35,58,105,195,334,595,1108,2324,1883,3374,2979,5016,.,.
JPN,1997,2,short,3,5,0,1,0,1,3,4,4,4,5,3,6,8,9,7,9,21,58,233,944,615,1729,1545,2499,.,.
JPN,1997,2,short,3,6,57,30,9,5,9,9,10,11,13,13,19,27,47,75,123,221,287,408,589,567,641,647,616,.,.
JPN,1997,2,short,3,7,124,15,8,10,11,12,20,28,49,72,134,186,300,579,1101,2221,4807,10431,29527,22200,46992,41178,71188,.,.
JPN,1997,2,short,3,8,19,3,2,3,4,7,12,22,41,87,159,249,340,581,1016,1994,4504,10330,28309,21698,44068,39905,61394,.,.
JPN,1997,2,short,3,9,2,0,0,0,0,0,1,3,3,4,7,11,20,41,73,151,279,606,1257,1005,1860,1685,2584,.,.
JPN,1997,2,short,3,10,71,38,8,5,4,6,5,9,11,19,24,37,66,137,308,743,2042,5282,19036,13037,33334,27636,57047,.,.
JPN,1997,2,short,3,11,62,13,4,3,5,9,9,9,10,13,24,36,66,121,236,501,1101,2187,5706,4228,9228,8016,14274,.,.
JPN,1997,2,short,3,12,64,3,2,1,2,4,5,9,16,30,51,80,117,204,321,558,989,2065,5091,3823,8112,7133,12186,.,.
JPN,1997,2,short,3,13,2,0,1,1,2,4,4,8,8,15,23,25,40,68,97,149,192,296,771,533,1339,1122,2242,.,.
JPN,1997,2,short,3,14,7,1,1,1,1,2,7,14,10,11,15,24,45,80,150,307,705,1743,4711,3589,7386,6620,10577,.,.
JPN,1997,2,short,3,15,2598,70,8,6,8,4,6,5,3,6,4,4,5,11,11,15,25,39,45,42,50,53,34,.,.
JPN,1997,2,short,3,16,235,100,43,22,106,158,147,154,149,153,202,285,314,383,464,716,1170,1921,3612,2949,5193,4671,7364,.,.
JPN,1998,2,short,3,0,3474,324,126,102,215,292,334,452,635,961,1571,2354,3251,4939,7915,13172,24447,47880,117566,89878,180141,158418,269053,.,.
JPN,1998,2,short,3,1,124,19,3,2,4,5,4,4,10,12,22,38,68,141,238,364,611,971,1734,1514,2232,2012,3133,.,.
JPN,1998,2,short,3,2,31,25,29,30,34,44,68,145,294,499,858,1267,1753,2475,3556,5093,7580,11201,17002,15652,20053,19525,22214,.,.
JPN,1998,2,short,3,3,28,7,3,3,4,4,2,4,4,7,7,9,19,26,37,80,140,261,660,506,1008,920,1370,.,.
JPN,1998,2,short,3,4,47,5,4,2,2,2,5,7,7,14,23,37,49,102,189,326,579,1082,2374,1913,3416,2962,5271,.,.
JPN,1998,2,short,3,5,0,0,0,0,2,3,5,4,5,5,5,7,6,7,10,17,77,194,946,598,1733,1476,2786,.,.
JPN,1998,2,short,3,6,49,33,11,7,10,12,9,11,9,16,18,33,43,73,124,201,285,410,531,502,597,567,723,.,.
JPN,1998,2,short,3,7,129,17,4,8,11,11,22,34,43,73,130,192,286,546,1107,2107,4595,10340,28648,20835,46307,40502,70067,.,.
JPN,1998,2,short,3,8,14,3,2,2,4,8,11,17,36,77,155,256,325,529,987,1915,4261,9739,26503,20182,40789,36319,59084,.,.
JPN,1998,2,short,3,9,0,0,0,0,1,1,1,1,2,4,8,14,22,42,76,147,307,612,1250,1008,1798,1619,2530,.,.
JPN,1998,2,short,3,10,87,36,14,7,5,5,7,6,12,17,23,33,66,126,273,701,1865,5068,18392,12306,32145,26521,55165,.,.
JPN,1998,2,short,3,11,71,20,4,5,6,6,7,9,10,15,24,37,70,114,228,487,1074,2130,5580,4254,8577,7378,13481,.,.
JPN,1998,2,short,3,12,73,3,1,1,1,5,6,11,20,27,43,74,114,182,313,517,959,1927,4884,3706,7546,6542,11657,.,.
JPN,1998,2,short,3,13,0,2,1,1,2,3,5,7,6,11,16,30,39,67,100,151,211,298,720,481,1259,1018,2244,.,.
JPN,1998,2,short,3,14,10,1,1,1,2,2,7,14,12,8,14,21,37,72,144,309,664,1633,4532,3361,7179,6240,11024,.,.
JPN,1998,2,short,3,15,2584,68,10,6,5,5,5,3,3,4,5,5,5,9,15,17,30,31,50,35,81,64,151,.,.
JPN,1998,2,short,3,16,226,85,39,26,123,176,171,173,163,171,221,302,349,427,518,742,1207,1983,3760,3025,5421,4754,8153,.,.
JPN,1999,2,short,3,0,3094,290,113,104,212,290,334,454,599,957,1547,2298,3321,4976,7925,13239,24638,47942,121226,91229,185979,163242,279205,.,.
JPN,1999,2,short,3,1,124,15,3,3,4,5,4,7,9,12,23,34,69,148,244,401,632,971,1853,1493,2629,2349,3776,.,.
JPN,1999,2,short,3,2,53,20,26,26,33,42,72,144,264,486,820,1257,1779,2487,3548,5138,7395,11031,17434,15890,20765,20407,22234,.,.
JPN,1999,2,short,3,3,26,5,2,2,2,2,3,2,4,7,9,11,19,23,41,79,145,235,667,483,1063,976,1423,.,.
JPN,1999,2,short,3,4,32,6,1,1,1,4,6,7,12,11,22,35,57,101,175,317,583,1115,2355,1899,3340,3014,4680,.,.
JPN,1999,2,short,3,5,0,0,0,1,2,3,5,5,3,4,4,6,6,6,11,24,69,194,1083,652,2013,1603,3694,.,.
JPN,1999,2,short,3,6,61,29,13,7,12,10,13,11,10,15,21,29,48,70,129,192,323,445,620,551,770,731,930,.,.
JPN,1999,2,short,3,7,84,17,8,9,12,14,21,30,45,76,135,186,311,562,1097,2154,4756,10298,29316,21194,46848,40618,72393,.,.
JPN,1999,2,short,3,8,9,0,1,5,5,6,10,21,34,78,143,231,324,537,956,1771,4097,9304,25503,19097,39330,35124,56577,.,.
JPN,1999,2,short,3,9,0,0,0,0,0,0,0,1,3,3,6,12,17,37,79,159,318,618,1299,1068,1797,1591,2641,.,.
JPN,1999,2,short,3,10,74,42,6,5,6,7,8,12,14,20,24,45,73,159,328,775,2138,5700,20887,13771,36248,30039,61707,.,.
JPN,1999,2,short,3,11,30,14,2,5,6,6,6,9,10,18,24,34,59,113,247,505,1069,2304,6053,4487,9434,7978,15406,.,.
JPN,1999,2,short,3,12,40,5,2,2,2,5,6,9,17,32,48,76,108,193,316,527,991,1885,4928,3696,7586,6507,12013,.,.
JPN,1999,2,short,3,13,5,0,0,1,2,4,4,5,6,11,18,30,48,68,88,146,197,309,725,518,1172,924,2189,.,.
JPN,1999,2,short,3,14,19,1,1,1,3,3,5,11,8,10,12,19,37,73,139,298,708,1559,4708,3417,7494,6415,11918,.,.
JPN,1999,2,short,3,15,2342,66,9,6,5,5,3,4,3,5,5,5,6,8,11,18,24,35,56,47,75,70,96,.,.
JPN,1999,2,short,3,16,194,70,39,30,117,175,167,176,157,169,232,287,360,392,517,736,1192,1938,3740,2964,5413,4898,7527,.,.
JPN,2000,2,short,3,0,3035,267,103,78,186,285,328,435,625,950,1474,2292,3193,4653,7554,12507,22808,43963,112599,84032,171386,149892,259348,.,.
JPN,2000,2,short,3,1,118,15,3,2,5,4,5,3,6,12,22,33,70,116,250,359,615,973,1766,1455,2406,2175,3350,.,.
JPN,2000,2,short,3,2,14,30,27,23,31,43,73,141,283,483,814,1295,1741,2358,3507,5036,7289,10775,17183,15471,20707,20292,22406,.,.
JPN,2000,2,short,3,3,20,4,2,2,1,3,3,4,4,8,6,10,14,26,39,61,129,224,626,466,957,802,1589,.,.
JPN,2000,2,short,3,4,38,7,0,2,2,2,6,7,7,14,23,30,55,86,151,282,529,1005,2079,1677,2907,2624,4066,.,.
JPN,2000,2,short,3,5,0,0,0,1,1,3,4,5,5,6,4,6,5,7,11,23,75,204,1108,649,2053,1714,3437,.,.
JPN,2000,2,short,3,6,52,24,8,4,8,11,10,8,10,14,20,28,41,72,114,201,314,420,678,619,800,755,985,.,.
JPN,2000,2,short,3,7,93,16,4,5,11,15,20,35,44,72,113,173,276,520,1002,1927,4251,9277,27524,19679,43666,37606,68466,.,.
JPN,2000,2,short,3,8,13,2,2,4,4,4,9,18,39,79,138,233,328,475,863,1700,3650,8306,23185,17150,35605,31646,51809,.,.
JPN,2000,2,short,3,9,0,0,0,0,0,0,0,3,3,4,6,13,20,44,84,156,296,629,1302,1055,1810,1665,2402,.,.
JPN,2000,2,short,3,10,72,32,8,5,6,3,5,12,11,13,21,36,68,134,288,670,1773,4769,17905,11596,30888,25306,53731,.,.
JPN,2000,2,short,3,11,47,13,3,2,4,6,6,9,11,16,23,32,54,108,218,458,975,2030,5762,4139,9101,7517,15583,.,.
JPN,2000,2,short,3,12,45,3,2,3,4,4,4,9,18,30,50,74,111,168,288,496,913,1766,4758,3507,7332,6343,11383,.,.
JPN,2000,2,short,3,13,2,1,0,0,2,2,3,6,8,9,15,22,36,63,102,143,225,276,714,505,1145,901,2143,.,.
JPN,2000,2,short,3,14,13,1,0,0,2,2,4,12,6,7,11,23,32,72,137,273,612,1462,4360,3162,6827,6003,10199,.,.
JPN,2000,2,short,3,15,2332,64,10,5,6,6,4,2,4,4,4,6,6,7,11,17,22,41,61,49,84,72,135,.,.
JPN,2000,2,short,3,16,179,56,34,20,101,174,172,162,164,178,203,279,335,399,489,707,1141,1804,3586,2852,5098,4471,7665,.,.
JPN,2001,2,short,3,0,2836,259,100,83,184,270,308,426,596,915,1454,2275,3127,4492,7303,12099,21900,41858,110289,81007,167393,145656,257304,.,.
JPN,2001,2,short,3,1,102,16,4,1,4,3,5,8,6,9,19,36,58,123,239,396,610,901,1717,1444,2248,2080,2943,.,.
JPN,2001,2,short,3,2,39,26,23,21,27,35,62,132,262,475,817,1293,1714,2369,3466,4940,7182,10726,17244,15343,20951,20202,24051,.,.
JPN,2001,2,short,3,3,14,4,1,1,3,3,3,2,3,4,5,9,15,20,35,63,132,218,566,421,848,735,1314,.,.
JPN,2001,2,short,3,4,27,4,1,2,1,4,3,7,11,12,24,34,52,80,157,252,495,909,2052,1606,2921,2582,4326,.,.
JPN,2001,2,short,3,5,0,0,0,0,3,3,5,5,4,5,5,5,5,7,8,22,72,223,1151,669,2089,1652,3898,.,.
JPN,2001,2,short,3,6,39,18,7,6,7,8,9,9,8,15,15,27,42,58,114,193,318,489,703,602,899,817,1236,.,.
JPN,2001,2,short,3,7,107,16,4,8,12,14,18,35,47,68,114,189,281,488,967,1893,3987,8774,26589,18424,42511,36745,66363,.,.
JPN,2001,2,short,3,8,9,2,2,2,2,5,9,18,37,74,133,221,307,436,789,1531,3375,7604,22490,16462,34245,29985,51866,.,.
JPN,2001,2,short,3,9,2,0,0,0,0,1,1,3,2,5,5,14,28,40,79,163,330,615,1455,1204,1944,1749,2752,.,.
JPN,2001,2,short,3,10,59,20,5,5,3,5,5,7,12,14,19,31,60,112,260,590,1618,4250,16957,10727,29107,23675,51573,.,.
JPN,2001,2,short,3,11,61,13,2,3,4,3,5,8,11,13,22,30,59,104,197,437,972,2032,6032,4232,9542,7886,16390,.,.
JPN,2001,2,short,3,12,50,4,1,1,3,3,6,8,16,31,48,71,94,162,297,491,909,1643,4687,3404,7188,6327,10752,.,.
JPN,2001,2,short,3,13,0,0,1,0,1,2,3,5,8,8,14,22,38,53,91,155,202,290,636,451,996,800,1809,.,.
JPN,2001,2,short,3,14,13,1,1,0,2,3,5,8,9,9,11,27,34,62,127,265,599,1437,4419,3165,6864,6033,10302,.,.
JPN,2001,2,short,3,15,2102,62,9,7,5,4,3,3,5,4,5,4,5,9,13,17,24,35,52,52,53,50,67,.,.
JPN,2001,2,short,3,16,213,71,39,26,108,174,166,167,155,168,198,263,335,371,464,691,1076,1712,3541,2801,4986,4338,7662,.,.
JPN,2002,2,short,3,0,2819,249,110,85,188,264,301,427,600,882,1390,2197,3084,4389,7032,11781,20980,40037,107887,77837,163258,141745,248580,.,.
JPN,2002,2,short,3,1,68,15,3,2,3,5,5,4,8,9,17,34,59,121,212,377,599,899,1655,1383,2156,1961,2929,.,.
